observed_on,time_observed_at,coordinates_obscured,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
8/2/2020,2020-08-02 17:33:41 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/4/2020,2020-08-04 17:06:55 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/1/2020,2020-08-01 19:47:00 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/4/2020,2020-08-04 15:55:00 UTC,FALSE,Monongalia,mariposa monarca,Danaus plexippus,Monarch,Insecta,48662
8/5/2020,2020-08-05 18:30:40 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/5/2020,2020-08-05 18:37:00 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/4/2020,2020-08-04 23:17:09 UTC,FALSE,Barbour,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/6/2020,2020-08-06 20:42:32 UTC,FALSE,Randolph,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/6/2020,2020-08-06 23:07:54 UTC,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/6/2020,2020-08-06 18:02:08 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/7/2020,2020-08-07 23:43:10 UTC,FALSE,Berkeley,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/9/2020,2020-08-09 18:25:37 UTC,FALSE,Grant,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/10/2020,2020-08-10 15:12:26 UTC,FALSE,Hampshire,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/11/2020,2020-08-11 14:53:30 UTC,FALSE,Gilmer,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/7/2020,2020-08-07 13:56:00 UTC,FALSE,Wood,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/11/2020,2020-08-11 21:51:26 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/13/2020,2020-08-13 20:26:13 UTC,FALSE,Harrison,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/15/2020,2020-08-15 14:15:56 UTC,FALSE,Jefferson,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/15/2020,2020-08-15 14:17:17 UTC,FALSE,Jefferson,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/15/2020,2020-08-15 19:56:00 UTC,FALSE,Kanawha,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/15/2020,2020-08-15 18:22:46 UTC,FALSE,Jefferson,Monarch,Danaus plexippus,Monarch,Insecta,48662
